陕西移动,#genre#
咸阳旬邑,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227077/index.m3u8
咸阳淳化,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227080/index.m3u8
咸阳彬州,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227087/index.m3u8
渭南新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226376/index.m3u8
渭南公共频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227001/index.m3u8
渭南富平,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
渭南蒲城,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226976/index.m3u8
渭南澄城,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227007/index.m3u8
渭南潼关,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227010/index.m3u8
渭南大荔,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227025/index.m3u8
渭南华阴,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227028/index.m3u8
渭南华州,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227050/index.m3u8
渭南白水,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227051/index.m3u8
渭南合阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227053/index.m3u8
渭南韩城,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227107/index.m3u8
延安新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226374/index.m3u8
延安公共,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226375/index.m3u8
延安吴起,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226967/index.m3u8
延安志丹,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8
延安黄陵,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226992/index.m3u8
延安洛川,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226996/index.m3u8
延安富县,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227015/index.m3u8
延安宜川,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227019/index.m3u8
延安延长,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227021/index.m3u8
延安黄龙,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227029/index.m3u8
延安甘泉,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227056/index.m3u8
延安子长,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227061/index.m3u8
延安延川,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227064/index.m3u8
汉中1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226331/index.m3u8
汉中2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225990/index.m3u8
汉中3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225991/index.m3u8
汉中留坝,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226000/index.m3u8
汉中略阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226322/index.m3u8
汉中宁强,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226390/index.m3u8
汉中佛坪,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
汉中镇巴,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
汉中西乡,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226556/index.m3u8
汉中城固,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226920/index.m3u8
汉中洋县,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226938/index.m3u8
汉中勉县,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226952/index.m3u8
汉中南郑,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226955/index.m3u8
榆林1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
榆林米脂,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226964/index.m3u8
榆林靖边,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226980/index.m3u8
榆林吴堡,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226983/index.m3u8
榆林府谷,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226990/index.m3u8
榆林神木,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226993/index.m3u8
榆林定边,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226997/index.m3u8
榆林绥德,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227000/index.m3u8
榆林清涧,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227003/index.m3u8
榆林榆阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227017/index.m3u8
榆林横山,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227054/index.m3u8
榆林佳县,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227059/index.m3u8
榆林子洲,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227104/index.m3u8
安康1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226385/index.m3u8
安康石泉,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226965/index.m3u8
安康白河,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226973/index.m3u8
安康汉阴,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226995/index.m3u8
安康宁陕,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8
安康紫阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227002/index.m3u8
安康平利,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227016/index.m3u8
安康镇坪,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227032/index.m3u8
安康岚皋,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227057/index.m3u8
安康旬阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227090/index.m3u8
商洛1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226378/index.m3u8
商洛2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227006/index.m3u8
商洛丹凤,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226962/index.m3u8
商洛山阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226970/index.m3u8
商洛商南,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8
商洛洛南,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226999/index.m3u8
商洛镇安,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227022/index.m3u8
商洛柞水,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227026/index.m3u8
百视通7076,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227076/index.m3u8
百视通7079,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8
百视通7082,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227082/index.m3u8
百视通7085,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227085/index.m3u8
百视通7088,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227088/index.m3u8
百视通7105,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227105/index.m3u8
百视通7108,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227108/index.m3u8
百视通7113,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227113/index.m3u8
百视通7116,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227116/index.m3u8
百视通7119,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227119/index.m3u8
百视通7122,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227122/index.m3u8


陕西银河,#genre#
CCTV-1,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-3,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000002925/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-3,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-4,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
